latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,price,is_entire,is_private,is_shared,dist_copacabana,dist_ipanema,dist_leblon,dist_cristo_redentor,dist_pao_de_acucar,dist_sdumont_airport,dist_min_praias_sul,dist_min_turistico,dist_media_praias_sul,has_wifi,has_ac,has_pool,has_beachfront,has_kitchen,has_parking,has_washer,amenities_count,amen_lux_abs,amen_lux_rel,geo_cluster,geo_cluster_mean_price,geo_cluster_0,geo_cluster_1,geo_cluster_2,geo_cluster_3,geo_cluster_4,geo_cluster_5,geo_cluster_6,geo_cluster_7,geo_cluster_8,geo_cluster_9,accommodates_per_bedroom,accommodates_per_bathroom,beds_per_bedroom,stay_span,has_reviews
-22.953222,-43.16833,2,1.0,1.0,1.0,2,89,9,180.0,0.0,1.0,0.0,2.4430695,5.0350056,6.654992,4.3203425,1.3246655,4.791594,2.4430695,1.3246655,4.7110224,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,75.42448,1.1086106,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,87.0,1.0
-22.96319,-43.1711,3,1.0,1.0,1.0,2,365,5,281.0,1.0,0.0,0.0,1.437034,4.129586,5.8685727,4.2248964,2.2224498,5.926871,1.437034,2.2224498,3.811731,1.0,0.0,0.0,1.0,1.0,0.0,1.0,33.0,-60.874557,0.9123412,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,363.0,1.0
-22.94903,-43.16456,4,1.0,2.0,2.0,2,89,2,380.0,1.0,0.0,0.0,3.0470328,5.634647,7.2341614,4.714747,0.82826596,4.2980614,3.0470328,0.82826596,5.30528,1.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0,-9.960095,0.9856576,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,87.0,1.0
-22.9611,-43.16767,6,3.0,3.0,4.0,2,365,0,1153.0,0.0,1.0,0.0,1.8572506,4.550696,6.2855086,4.5030365,1.8172162,5.656974,1.8572506,1.8172162,4.2311516,1.0,1.0,1.0,1.0,0.0,1.0,0.0,11.0,83.841675,1.1207312,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.3333334,363.0,0.0
-22.96438,-43.17556,6,2.5,3.0,4.0,2,730,13,1080.0,1.0,0.0,0.0,1.0101901,3.6780736,5.3994894,3.837134,2.6392813,6.1364202,1.0101901,2.6392813,3.3625844,1.0,1.0,0.0,1.0,1.0,0.0,1.0,19.0,2.4381092,1.0035108,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.4,1.3333334,728.0,1.0
-22.915081,-43.24098,7,2.5,2.0,6.0,2,365,26,420.0,1.0,0.0,0.0,8.661929,8.47188,8.054578,5.1482267,9.411284,7.993552,8.054578,5.1482267,8.396129,1.0,0.0,0.0,0.0,1.0,0.0,1.0,49.0,-70.455605,0.89854455,4.0,401.52313,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,2.8,3.0,363.0,1.0
-23.00475,-43.34805,2,1.0,1.0,1.0,1,30,6,538.0,0.0,1.0,0.0,17.384613,14.850453,12.97592,15.258333,20.58632,21.648565,12.97592,15.258333,15.070328,1.0,1.0,1.0,0.0,0.0,1.0,0.0,14.0,80.11834,1.1153697,2.0,1144.7134,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,29.0,1.0
-23.00589,-43.3466,1,1.0,1.0,1.0,2,30,2,283.0,0.0,1.0,0.0,17.267578,14.7246685,12.851129,15.171112,20.4841,21.580837,12.851129,15.171112,14.947792,1.0,1.0,1.0,0.0,0.0,1.0,0.0,13.0,112.0379,1.1613336,2.0,1144.7134,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28.0,1.0
-22.98574,-43.20074,2,2.0,1.0,2.0,3,90,15,618.0,1.0,0.0,0.0,2.5004683,0.47891083,2.2787278,3.8932476,6.1444206,9.221478,0.47891083,3.8932476,1.7527024,1.0,1.0,0.0,0.0,1.0,0.0,1.0,42.0,-10.3275175,0.98512846,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,87.0,1.0
-22.96647,-43.18663,2,2.0,1.0,2.0,2,15,39,136.0,0.0,1.0,0.0,0.6861127,2.6623816,4.288121,2.9321856,3.6815925,6.684106,0.6861127,2.9321856,2.5455387,1.0,1.0,0.0,1.0,1.0,0.0,1.0,42.0,-54.537407,0.9214666,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,13.0,1.0
-22.98107,-43.19029,4,1.0,1.0,1.0,4,730,43,214.0,1.0,0.0,0.0,1.3838146,1.5117781,3.3861358,3.847324,5.016462,8.336786,1.3838146,3.847324,2.0939095,1.0,1.0,0.0,1.0,1.0,0.0,0.0,30.0,-52.641224,0.9241971,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,726.0,1.0
-22.96493,-43.17796,6,1.0,2.0,3.0,3,90,45,405.0,1.0,0.0,0.0,0.81186813,3.4438224,5.1520247,3.633079,2.8646739,6.2514896,0.81186813,2.8646739,3.135905,1.0,0.0,0.0,1.0,1.0,0.0,1.0,30.0,-47.813114,0.93114954,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,1.5,87.0,1.0
-22.9841,-43.22019,4,1.0,1.0,3.0,3,60,66,385.0,1.0,0.0,0.0,4.1490836,1.5764198,0.33250996,3.7153728,7.6339407,10.066378,0.33250996,3.7153728,2.019338,1.0,1.0,0.0,0.0,1.0,0.0,1.0,30.0,-30.436523,0.9561717,5.0,1168.1151,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,57.0,1.0
-22.97725,-43.19249,4,2.0,2.0,3.0,4,15,1,750.0,1.0,0.0,0.0,1.2559392,1.4445102,3.2583802,3.3683188,4.8855658,8.019483,1.2559392,3.3683188,1.9862766,1.0,1.0,0.0,0.0,1.0,0.0,1.0,13.0,13.868075,1.0199699,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.5,11.0,1.0
-22.97514,-43.19073,4,1.0,2.0,3.0,3,90,4,1080.0,1.0,0.0,0.0,0.982038,1.7203414,3.502264,3.2825253,4.595996,7.734789,0.982038,3.2825253,2.0682144,1.0,1.0,0.0,0.0,1.0,0.0,1.0,46.0,-76.23814,0.8902177,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.5,87.0,1.0
-22.97293,-43.38321,2,2.0,1.0,2.0,1,90,0,569.0,0.0,1.0,0.0,20.57974,18.302673,16.461285,17.836681,23.371473,23.587269,16.461285,17.836681,18.4479,1.0,0.0,1.0,0.0,1.0,1.0,1.0,11.0,393.1456,1.5661262,0.0,784.8122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,89.0,0.0
-22.97256,-43.18948,2,1.0,1.0,2.0,3,30,14,135.0,0.0,1.0,0.0,0.7627796,1.9916509,3.7252584,3.1478755,4.3149767,7.42099,0.7627796,3.1478755,2.1598961,1.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0,-2.0258718,0.99708277,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,27.0,1.0
-22.9531,-43.19018,4,2.0,2.0,2.0,2,10,9,800.0,1.0,0.0,0.0,2.1618438,3.7070572,4.9345584,2.0848687,3.487964,5.498571,2.1618438,2.0848687,3.6011531,1.0,1.0,0.0,0.0,1.0,0.0,1.0,32.0,4.881877,1.0070299,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,1.0
-22.97402,-43.38749,4,2.0,2.0,2.0,2,30,6,618.0,1.0,0.0,0.0,21.01933,18.732567,16.888126,18.287027,23.820839,24.041708,16.888126,18.287027,18.880007,1.0,0.0,1.0,1.0,1.0,1.0,1.0,52.0,-53.069675,0.9235801,0.0,784.8122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,28.0,1.0
-22.98114,-43.23899,2,1.0,1.0,1.0,3,365,10,150.0,0.0,1.0,0.0,5.920013,3.5106633,1.7103435,4.367964,9.196735,11.057094,1.7103435,4.367964,3.7136734,1.0,1.0,0.0,0.0,1.0,0.0,1.0,40.0,-59.891186,0.9137572,5.0,1168.1151,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,362.0,1.0
-22.97575,-43.18877,1,0.0,0.0,2.0,3,720,1,157.0,1.0,0.0,0.0,0.84837997,1.858714,3.6713128,3.46161,4.4905224,7.727399,0.84837997,3.46161,2.1261356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-124.58663,0.82059634,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,1.0
-22.93707,-43.19071,2,2.0,1.0,2.0,2,45,38,181.0,0.0,1.0,0.0,3.8829904,5.371254,6.328476,2.6126149,3.722721,4.0975704,3.8829904,2.6126149,5.19424,1.0,0.0,0.0,0.0,1.0,0.0,1.0,23.0,39.89298,1.0574455,1.0,478.42426,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,43.0,1.0
